Organism;Perc_gDNA
Veillonella rogosae;13,57751
Bacteroides fragilis;13,57739
Escherichia coli;13,5598
Roseburia hominis;13,55383
Faecalibacterium prausnitzii;13,54754
Lactobacillus fermentum;5,82602
Prevotella corporis;5,81971
Fusobacterium nucleatum;5,81845
Bifidobacterium adolescentis;5,817
Imtechella halotolerans;2,35603
Allobacillus halotolerans;2,12043
Clostridioides difficile;1,45477
Akkermansia muciniphila;1,45037
Candida albicans;0,73785
Saccharomyces cerevisiae;0,66848
Methanobrevibacter smithii;0,0988
Salmonella enterica;0,01495
Enterococcus faecalis;0,00098
Clostridium perfringens;0,0001
